num, name, organism, type, Dataset, Platforms, samples, series
551,hESC MIXL1+ MIXL1- microarray,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE74664,GSE74664
552,Isolation of highly enriched cardiac mesoderm from differentiating human embryonic stem cells,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,NoData,GPL16791 GPL570,10,GSE74713,GSE74713
553,Nitric oxide regulates gene expression in cancers by controlling histone posttranslational modifications,synthetic construct; Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL15207 GPL19117 GPL11154,22,GSE66324,GSE66324
554,Retinoid X Receptor activation reverses the age-related deficiency in myelin debris phagocytosis and enhances remyelination,Homo sapiens,Expression profiling by array,NoData,GPL6244,24,GSE66988,GSE66988
555,The Activation-Induced Assembly of an RNA/Protein Interactome Centered on the Splicing Factor U2AF2 Regulates Gene Expression in Human CD4 T Cells,Homo sapiens,Expression profiling by high throughput sequencing; Expression profiling by array,NoData,GPL17585 GPL11154 GPL17586,82,GSE62923,GSE62923
556,The Activation-Induced Assembly of an RNA/Protein Interactome Centered on the Splicing Factor U2AF2 Regulates Gene Expression in Human CD4 T Cells [RIP-array],Homo sapiens,Expression profiling by array,NoData,GPL17586 GPL17585,24,GSE62922,GSE62922
557,The Activation-Induced Assembly of an RNA/Protein Interactome Centered on the Splicing Factor U2AF2 Regulates Gene Expression in Human CD4 T Cells [total RNA-array],Homo sapiens,Expression profiling by array,NoData,GPL17586 GPL17585,42,GSE62921,GSE62921
558,High FGFR2 expression is associated with reduced breast cancer risk and represses the estrogen response,Homo sapiens,Expression profiling by array,NoData,GPL10558,67,GSE74663,GSE74663
559,Gene expression data from acetaminophen-induced toxicity in human hepatic in vitro systems and clinical liver samples,Homo sapiens,Expression profiling by array,NoData,GPL570,23,GSE74000,GSE74000
560,Mechanism of Ikaros tumor suppression in Leukemia,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL15143 GPL9115 GPL11154,11,GSE44218,GSE44218
561,Gene expression profiles of desmoid tumor cells treated with gamma-secretase inhibitor,Homo sapiens,Expression profiling by array,NoData,GPL10904,24,GSE61097,GSE61097
562,Gene expression profiling of histone deacetylase inhibition in epithelioid sarcoma,Homo sapiens,Expression profiling by array,NoData,GPL10904,12,GSE66800,GSE66800
563,Gene expression profiling of sensitive skin,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE48506,GSE48506
564,Microarray Analysis of Cohesin Mutant HSPC,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE73224,GSE73224
565,LncRNA and mRNA expression profiles from human GES-1 cells in response to Helicobacter pylori infection,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL17586,6,GSE74577,GSE74577
566,Targeting the SIN3A-PF1 Interaction inhibits Epithelial to Mesenchymal Transition and Maintenance of a Stem Cell Phenotype in Triple Negative Breast Cancer (Expression),Homo sapiens,Expression profiling by array,NoData,GPL6244,5,GSE73278,GSE73278
567,Targeting the SIN3A-PF1 Interaction inhibits Epithelial to Mesenchymal Transition and Maintenance of a Stem Cell Phenotype in Triple Negative Breast Cancer,Homo sapiens,Expression profiling by array; Methylation profiling by high throughput sequencing,NoData,GPL16791 GPL6244,9,GSE73871,GSE73871
568,Exon-expression profiling of CD4+ T cells derived from HTLV-1-infected individuals with or without malignancy,Homo sapiens,Expression profiling by array,NoData,GPL5188,15,GSE52244,GSE52244
569,Transcriptomic profiling of the inflammatory response after trauma,Homo sapiens,Expression profiling by array,NoData,GPL10558,90,GSE70311,GSE70311
570,Efficient generation of stable chondrocytes from human iPSC through early induction of a pre-chondrogenic population,Homo sapiens,Expression profiling by array,NoData,GPL6244,10,GSE62914,GSE62914
571,Next Generation Sequencing Methylation Profiling in Skeletal Muscle from Lean and Obese Subjects,Homo sapiens,Methylation profiling by high throughput sequencing; Expression profiling by array,NoData,GPL11154 GPL17077,40,GSE73304,GSE73304
572,Childhood Atopic Asthma,Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL14550 GPL13534,141,GSE65205,GSE65205
573,Gene expression profiling in response to radiation treatment in human breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL17586,62,GSE65505,GSE65505
574,Comparasion between SKOV3-shRNARELB and SKOV3-shRNALuc,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE62815,GSE62815
575,Gene expression profiling in response to radiation treatment in breast cancer [cell lines],Homo sapiens,Expression profiling by array,NoData,GPL571,96,GSE59732,GSE59732
576,Identification of MAML2 regulated transcriptional program in HSY cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE57022,GSE57022
577,Selective loss of 5hmC links to A-T Purkinje cell vulnerability,Homo sapiens,Expression profiling by array; Methylation profiling by high throughput sequencing,NoData,GPL10558 GPL16791,19,GSE61169,GSE61169
578,Identification of the CREB-regulated transcriptional program in human mucoepidermoid carcinoma cells,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE49673,GSE49673
579,Transcriptional profiles of pilocytic astrocytoma,Homo sapiens,Expression profiling by array,NoData,GPL570,47,GSE73066,GSE73066
580,Cell cycle-dependent reconfiguration of the DNA (hydroxy) methylome during terminal differentiation of human B cells into plasma cells,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by high throughput sequencing; Methylation profiling by genome tiling array; Expression profiling by array,NoData,NoData,52,GSE72498,GSE72498
581,Activated neutrophils are associated with pediatric cerebral malaria vasculopathy in Malawian children,Homo sapiens,Expression profiling by array,NoData,GPL6244,98,GSE72058,GSE72058
582,A cross species and multi-omics (including metabolomics) analysis in pancreatic neuroendocrine tumours,Homo sapiens,Expression profiling by array,NoData,GPL6244,29,GSE73339,GSE73339
583,Expression profiling of primary glioma samples,Homo sapiens,Expression profiling by array,NoData,GPL6244,22,GSE74462,GSE74462
584,EIF4E AND EIF4GI HAVE DISTINCT AND DIFFERENTIAL IMPRINTS ON MULTIPLE MYELOMA'S PROTEOME AND SIGNALING,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE62821,GSE62821
585,Effect of YAP overexpression on HuCCT1 cholangiocarcinoma cell line transcriptome,Homo sapiens,Expression profiling by array,NoData,GPL570,17,GSE61767,GSE61767
586,Effect of YAP overexpression on HuCCT1 cholangiocarcinoma cell line transcriptome (shRNA targeting YAP),Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE61765,GSE61765
587,Effect of YAP overexpression on HuCCT1 cholangiocarcinoma cell line transcriptome (YAP overexpression),Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE61764,GSE61764
588,Comparison of Nanostring nCounter data on FFPE colon cancer samples and Affymetrix microarray data on matched frozen tissues,Homo sapiens,Expression profiling by array,NoData,GPL570,68,GSE62932,GSE62932
589,Identification of a potent and selective chemical probe for exploring the role of Mediator complex-associated protein kinases CDK8 and CDK19 in human disease,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL17077 GPL14550 GPL13912,46,GSE67849,GSE67849
590,Transcriptomic Comparison of Neuronal Development Stages using Induced Pluripotent Stem Cells from Bipolar Disorder Patients,Homo sapiens,Expression profiling by array,NoData,GPL570,28,GSE74358,GSE74358
591,Discrimination of SIRS from Sepsis in Critically Ill Adults,Homo sapiens,Expression profiling by array,NoData,GPL5175,105,GSE74224,GSE74224
592,"Gene expression data of GBM146 and GBM157 at day0, 7, 30 after serum exposure",Homo sapiens,Expression profiling by array,NoData,GPL570,10,GSE74304,GSE74304
593,Bruton's Tyrosine Kinase Regulates TLR9 but not TLR7 Signaling in Human pDCs,Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE41825,GSE41825
594,Sputum gene expression profiling in asthmatics,Homo sapiens,Expression profiling by array,NoData,GPL570,56,GSE41863,GSE41863
595,Nasal scrape gene expression profiling in asthmatics,Homo sapiens,Expression profiling by array,NoData,GPL570,116,GSE41862,GSE41862
596,Upper airway gene expression is an effective surrogate biomarker for Th2-driven inflammation in the lower airway,Homo sapiens,Expression profiling by array,NoData,GPL570,138,GSE41861,GSE41861
597,Expression data from human HSPC with O/E TAL1 or KD/TAL1,Homo sapiens,Expression profiling by array,NoData,GPL6244,9,GSE62634,GSE62634
598,Identification of a new subclass of ALK negative ALCL expressing aberrant levels of ERBB4 transcripts,Homo sapiens,Expression profiling by array,NoData,GPL570,31,GSE65823,GSE65823
599,Human Stem Cells from Single Blastomeres Reveal Pathways of Embryonic or  Trophoblast Fate Specification.,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,NoData,GPL6947 GPL13534 GPL10558,383,GSE72923,GSE72923
600,TERT  rearrangements are frequent in neuroblastoma and identify aggressive tumors,Homo sapiens,Expression profiling by array,NoData,GPL570,34,GSE73537,GSE73537
601,Differential expression and prognostic significant of SOX genes in pediatric medulloblastoma and ependymoma identified by microarray analysis,Homo sapiens,Expression profiling by array,NoData,GPL570,51,GSE74195,GSE74195
602,Integrated bioinformatic and wet-lab approach to identify potential oncogenic networks in neuroblastoma: MYCN,Homo sapiens,Expression profiling by array,NoData,GPL570,28,GSE16478,GSE16478
603,Expression data from the human nasopharyngeal carcinoma cell line CNE2Z transfected with AGO2 shRNAs or control shRNA,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE74154,GSE74154
604,Interferon-γ inhibition of Ebola virus infection,Homo sapiens,Expression profiling by array,NoData,GPL5175,14,GSE64997,GSE64997
605,Interferon-γ inhibition of Ebola virus infection [Monocyte-derived macrophage],Homo sapiens,Expression profiling by array,NoData,GPL5175,8,GSE64996,GSE64996
606,Interferon-γ inhibition of Ebola virus infection [Alveolar macrophage],Homo sapiens,Expression profiling by array,NoData,GPL5175,6,GSE64995,GSE64995
607,Molecular characterization of systemic sclerosis esophageal pathology identifies inflammatory and proliferative signatures,Homo sapiens,Expression profiling by array,NoData,GPL6480,46,GSE68698,GSE68698
608,Vitamin D stimulation of primary skeletal muscle myoblasts,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE69698,GSE69698
609,Changes in Expression of Genes Regulating Airway Inflammation Following a High-Fat Mixed Meal in Asthmatics,Homo sapiens,Expression profiling by array,NoData,GPL6883,16,GSE74075,GSE74075
610,Expression data from A2780 cell line and wild type ovarian cancer cell line (with resistant sublines),Homo sapiens,Expression profiling by array,NoData,GPL13667,48,GSE73935,GSE73935
611,Poly I:C Induced Gene Expression Changes in Non-Human Primates III,Macaca fascicularis; Homo sapiens,Expression profiling by array,NoData,GPL570,49,GSE41672,GSE41672
612,Poly I:C Induced Gene Expression Changes in Non-Human Primates I,Homo sapiens; Macaca fascicularis,Expression profiling by array,NoData,GPL570,18,GSE41671,GSE41671
613,Poly I:C Induced Gene Expression Changes in Non-Human Primates V,Macaca fascicularis; Homo sapiens,Expression profiling by array,NoData,GPL570,162,GSE41670,GSE41670
614,Poly I:C Induced Gene Expression Changes in Non-Human Primates IV,Homo sapiens; Macaca fascicularis,Expression profiling by array,NoData,GPL570,94,GSE41669,GSE41669
615,Poly I:C Induced Gene Expression Changes in Non-Human Primates II,Macaca fascicularis; Homo sapiens,Expression profiling by array,NoData,GPL570,25,GSE41668,GSE41668
616,Optimizing microarray gene expression profiling workflow for formalin-fixed paraffin-embedded  tissues,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL1352,19,GSE73883,GSE73883
617,Integrated ordination of miRNA and mRNA expression profiles,Homo sapiens; synthetic construct,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL14613 GPL570,60,GSE62037,GSE62037
618,Integrated ordination of miRNA and mRNA expression profiles [mRNA],Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE62029,GSE62029
619,Transcriptomic effects of TNFa in primary fibroblast-like synovial cell cultures,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE73764,GSE73764
620,Expression data from human osteosarcoma cells treated with CDK11 siRNA,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE73422,GSE73422
621,Prospective biomarker analysis of the randomized CHER-LOB study evaluating the dual anti-HER2 treatment with chemotherapy plus trastuzumab and lapatinib as neoadjuvant therapy for HER2-positive breast cancer [expression],Homo sapiens,Expression profiling by array,NoData,GPL570,88,GSE66305,GSE66305
622,Prospective biomarker analysis of the randomized CHER-LOB study evaluating the dual anti-HER2 treatment with chemotherapy plus trastuzumab and lapatinib as neoadjuvant therapy for HER2-positive breast cancer,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array,NoData,GPL6801 GPL570,156,GSE66399,GSE66399
623,A lincRNA connected to cell mortality and epigenetically-silenced in most common human cancers,Homo sapiens,Expression profiling by array,NoData,GPL6244,16,GSE72353,GSE72353
624,"Inhibition of de novo Palmitate Synthesis by Fatty Acid Synthase Induces Apoptosis in Tumor Cells by Remodeling Cell Membranes, Inhibiting Signaling Pathways, and Reprogramming Gene Expression",Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE64337,GSE64337
625,MicroRNA profiling of the developing mammary gland identifies miR-184 as a candidate breast tumour suppressor gene,Mus musculus; Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL6244 GPL13493,16,GSE62261,GSE62261
626,MicroRNA profiling of the developing mammary gland identifies miR-184 as a candidate breast tumour suppressor gene (Affymetrix),Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE62259,GSE62259
627,Expression data from 36 KRAS-mutant lung adenocarcinomas from the BATTLE-2 clinical trial.,Homo sapiens,Expression profiling by array,NoData,GPL6244,36,GSE61913,GSE61913
628,Targeting the WNT pathway for repigmenting vitiligo,Homo sapiens,Expression profiling by array,NoData,GPL570,40,GSE65127,GSE65127
629,"Cell cloning of Barrett's esophagus stem cell, gastric cardia stem cells and normal esophagus stem cells",Homo sapiens,Expression profiling by array,NoData,GPL5175,66,GSE65013,GSE65013
630,Overexpression Studies of SNHG1 Revealed that SNHG1 Regulated the Distal Genes Expression in Cancer,Homo sapiens,Expression profiling by array,NoData,GPL19615,12,GSE69888,GSE69888
631,Age gene expression in Healthy leukocytes,Homo sapiens,Expression profiling by array,NoData,GPL6244,43,GSE69832,GSE69832
632,The tumor heterogeneity of high grade serous ovarian cancer identified by stem cloning technique,Homo sapiens,Expression profiling by array,NoData,GPL5175,76,GSE64592,GSE64592
633,"Transformation of Barrett's esophagus stem cell, gastric cardia stem cells and normal esophagus stem cells",Homo sapiens,Expression profiling by array,NoData,GPL570,19,GSE64894,GSE64894
634,Effect of Neoadjuvant Chemoradiation on Pancreatic Adenocarcinoma,Homo sapiens,Expression profiling by array,NoData,GPL5175,26,GSE60646,GSE60646
635,Expression profiles of glioblastoma stem cells (GSC) treated with BMP7,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE68030,GSE68030
636,Glioblastoma stem cell (GSC) clones survived 500uM Temozolomide (TMZ) treatment,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE68029,GSE68029
637,"Canakinumab treatment for recent-onset type 1 diabeties mellitus: a multicenter randomized, placebo-controlled trial",Homo sapiens,Expression profiling by array,NoData,GPL570,189,GSE68049,GSE68049
638,Glioblastoma stem cells,Homo sapiens,Expression profiling by array,NoData,GPL570,16,GSE68071,GSE68071
639,Natural killer cell genomic profile is associated with treatment outcome in patients with chronic HCV infection,Homo sapiens,Expression profiling by array,NoData,GPL6244,40,GSE51941,GSE51941
640,Expression data of human aortic valve cusps,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE51472,GSE51472
641,Rapid expansion of human epithelial stem cells suitable for airway tissue engineering,Homo sapiens,Expression profiling by array,NoData,GPL10558,8,GSE69005,GSE69005
642,Plasma induced signatures reveal an extracellular milieu possessing an immunoregulatory bias in treatment naïve inflammatory bowel disease,Homo sapiens,Expression profiling by array,NoData,GPL570,47,GSE71730,GSE71730
643,Gene expression comparison between human embryonic stem cell lines with a normal karyotype and after acquiring a duplication of 20q11.21,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE41439,GSE41439
644,Cloning Barrett’s esophagus stem cells,Homo sapiens,Expression profiling by array,NoData,GPL5175,9,GSE49292,GSE49292
645,Expression data from normal breast tissues and invasive primary breast carcinoma tissues,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE73613,GSE73613
646,Human Endometrial Mesenchymal Stem Cells Give Rise to Endometrial Stromal Fibroblasts that Maintain the Progesterone-Resistant Disease Phenotype in Endometriosis,Homo sapiens,Expression profiling by array,NoData,GPL6244,50,GSE73622,GSE73622
647,"Nucleosome dynamics and gene expression in glucocorticoid-treated acute lymphoblastic leukemia, RS4;11",Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL11154 GPL571,35,GSE71617,GSE71617
648,Cell context specific effect of AR antagonists on AR DNA binding and target gene expression,Homo sapiens; Mus musculus,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,NoData,68,GSE62472,GSE62472
649,Expression data from Treg subsets sorted from healthy human peripheral blood,Homo sapiens,Expression profiling by array,NoData,GPL6244,124,GSE64176,GSE64176
650,Expression data from human effector CD4 T cells co-cultured with various Treg subsets sorted from  human peripheral blood.,Homo sapiens,Expression profiling by array,NoData,GPL6244,28,GSE64180,GSE64180
651,Acyl-CoA synthetase 1 in differentiated adipocytes from small for gestational age neonates: Putative association with fetal programming of cellular insulin sensitivity and lipid content,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL11154 GPL10558,66,GSE64700,GSE64700
652,Gene expression data of human primary keratinocytes with control or DDX6 knockdown,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE62417,GSE62417
653,"Interleukin-1 receptor antagonist for recent-onset type 1 diabeties mellitus: a multicenter randomized, placebo-controlled trial",Homo sapiens,Expression profiling by array,NoData,GPL570,235,GSE37025,GSE37025
654,Expression data from prostate cancer and osteoblast co-cultures,Rattus norvegicus; Homo sapiens,Expression profiling by array,NoData,GPL570 GPL1355,9,GSE73044,GSE73044
655,Differential gene regulation in miR-223 overexpressing pulmonary epithelial cell line compared to control cell line,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE47625,GSE47625
656,Preferential Iron Trafficking Characterizes Glioblastoma Stem-like Cells,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL16791 GPL17692,19,GSE72204,GSE72204
657,Gene expression data of regenerated human epidermis overexpressing control LACZ or SOX2,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE68073,GSE68073
658,Induction of USP17 by combining BET and HDAC inhibitors in breast cancer cells.,Homo sapiens,Expression profiling by array,NoData,GPL17692,12,GSE65495,GSE65495
659,An immediate transcriptional signature predicts response to the histone deacetylase inhibitor Givinostat in T acute lymphoblastic leukemia xenografts,Homo sapiens,Expression profiling by array,NoData,GPL570,33,GSE69346,GSE69346
660,Enriching glioma stem cells by intracranial implantation and developing clinically relevant model for therapeutic intervention,Homo sapiens,Expression profiling by array,NoData,GPL570,7,GSE54660,GSE54660
661,Expression data for analysis of genes affected by CHD4 in alveolar rhabdomyosarcoma cell line Rh4,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE73480,GSE73480
662,Gene expression analysis of human fallopian tube stem cells and air-liquid interface differentiation,Homo sapiens,Expression profiling by array,NoData,GPL5175,4,GSE69453,GSE69453
663,"Molecular analysis of normal oviduct, STIC and invasive serous cancer",Homo sapiens,Expression profiling by array,NoData,GPL5175,18,GSE69429,GSE69429
664,Transformation of Human Fallopian Tube Stem Cells and high grade serous ovarian cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,29,GSE69428,GSE69428
665,Multi-platform assessment of transcriptional profiling technologies utilizing a precise probe mapping methodology,Homo sapiens,Expression profiling by high throughput sequencing; Expression profiling by array,NoData,NoData,70,GSE66649,GSE66649
666,Multi-platform assessment of transcriptional profiling technologies utilizing a precise probe mapping methodology (Affymetrix_HTA2.0),Homo sapiens,Expression profiling by array,NoData,GPL17585 GPL17586,20,GSE66648,GSE66648
667,Multi-platform assessment of transcriptional profiling technologies utilizing a precise probe mapping methodology (Affymetrix_Gene1.0) (exon analysis),Homo sapiens,Expression profiling by array,NoData,GPL6244 GPL10739,20,GSE66628,GSE66628
668,Gene expression profiles of epithelial and mesenchymal cells extracted from heterotypic ex vivo co-cultures or monocultures,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE51201,GSE51201
669,Gene expression profiles of epithelial and mesenchymal cell populations extracted from normal human breast tissue,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE51200,GSE51200
670,Effect in MOLM-14 cells of 3hr cortistatin A treatment on gene expression,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE65015,GSE65015
671,Effect in MOLM-14 cells of 24hr cortistatin A treatment on gene expression,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE65014,GSE65014
672,Effect in MV4;11 cells of 3hr cortistatin A treatment on gene expression,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE65019,GSE65019
673,Effect in K562 cells of 3hr cortistatin A treatment on gene expression,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE65012,GSE65012
674,Mediator kinase inhibition further activates super-enhancer-associated genes in AML,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,NoData,NoData,89,GSE65161,GSE65161
675,Gene expression profiles in control and FOXC1-overexpressing MDA-MB-231 cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE73234,GSE73234
676,"Ctr9, a key subunit of PAFc, affects global estrogen signaling and drives ERalpha-positive breast tumorigenesis",Homo sapiens,Expression profiling by array,NoData,GPL17586,12,GSE73388,GSE73388
677,Cell fate determination by ubiquitin-dependent regulation of ribosome function,Homo sapiens,Expression profiling by array,NoData,GPL6244,18,GSE62123,GSE62123
678,Whole blood gene expression profiles of patients with a past aneurysmal subarachnoid hemorrhage,Homo sapiens,Expression profiling by array,NoData,GPL10904 GPL10558,226,GSE73378,GSE73378
679,Epigenetics and Preeclampsia: Defining Functional Epimutations in the Preeclamptic Placenta Related to the TGF-β Pathway,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,NoData,GPL13534 GPL16686,72,GSE73377,GSE73377
680,Functional Retinal Pigment Epithelium-like Cells from Human Fibroblasts,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL16043,20,GSE64264,GSE64264
681,Beyond the one-locus-one-miRNA paradigm: microRNA isoforms enable deeper insights into breast cancer heterogeneity,Homo sapiens,Expression profiling by array,NoData,GPL17586,12,GSE71950,GSE71950
682,Oncogenic activation of RNA binding proteins and c-Myc signaling in hepatocellular carcinoma,Homo sapiens,Expression profiling by array,NoData,GPL17586,12,GSE73219,GSE73219
683,Microarray expression data from three arterial tortuosity syndrome (ATS) patients' skin fibroblasts with recessive SLC2A10 mutations,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE70683,GSE70683
684,Novel IDH1 Mutant Inhibitors for Treatment of Acute Myeloid Leukemia,Homo sapiens,Expression profiling by array; Methylation profiling by high throughput sequencing,NoData,GPL11154 GPL16686,13,GSE72253,GSE72253
685,ELABELA Is an Endogenous Growth Factor that Sustains hESC Self-Renewal Via the PI3K/AKT Pathway,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE71949,GSE71949
686,Transcriptome data of multiple sclerosis patients receiving fingolimod therapy,Homo sapiens,Expression profiling by array,NoData,GPL17586 GPL17585,120,GSE73174,GSE73174
687,Regulation of HSF1-mediated transcriptional programs by PGC-1alpha,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL6246 GPL6244,19,GSE51498,GSE51498
688,"Transcriptome data of multiple sclerosis patients receiving fingolimod therapy [HTA-2_0, CD8+ cells, gene level]",Homo sapiens,Expression profiling by array,NoData,GPL17586,30,GSE73081,GSE73081
689,"Transcriptome data of multiple sclerosis patients receiving fingolimod therapy [HTA-2_0, CD4+ cells, gene level]",Homo sapiens,Expression profiling by array,NoData,GPL17586,30,GSE73079,GSE73079
690,Expression data from control and Smith-Lemli-Opitz syndrome patient-derived iPS cells - comparison of cholesterol deficient and cholesterol rich culture,Homo sapiens,Expression profiling by array,NoData,GPL5175,48,GSE61203,GSE61203
691,Expression data from neural crest cells and neural crest cell-derived MSCs from human pluripotent stem cells of FOP patients and controls,Homo sapiens,Expression profiling by array,NoData,GPL6244,20,GSE61510,GSE61510
692,Atherogenic Stimuli Trigger Ago2-hnRNP A1-Dependent Processing of RNYs Regulating Apoptosis and Inflammatory Response in Macrophages,Homo sapiens; Mus musculus,Non-coding RNA profiling by high throughput sequencing; Expression profiling by array,NoData,GPL16288 GPL13912 GPL9250,12,GSE47609,GSE47609
693,Expression data from mice brain implanted GSC272 glioma stem cells or POSTN knockout,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE73071,GSE73071
694,Non-genomic and Immune Evolution in Melanoma with Acquired MAPKi Resistance,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing; Methylation profiling by genome tiling array,NoData,GPL17692 GPL11154 GPL13534,218,GSE65186,GSE65186
695,Generation of induced pluripotent stem cells from human mesenchymal stem cells of parotid gland origin,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE72984,GSE72984
696,Interplay between promoter methylation and chromosomal loss in gene silencing at 3p11-p14 in cervical cancer,Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL13534 GPL10558,391,GSE68339,GSE68339
697,Genome-wide analysis of colorectal cancer,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE54986,GSE54986
698,Expression data from biopsies of CIT study patients,Homo sapiens,Expression profiling by array,NoData,GPL6244,28,GSE72355,GSE72355
699,STAT2 and IRF9-dependent IFN-I signaling restores ISRE-mediated transcription and anti-viral activity independent of STAT1 (human),Homo sapiens,Expression profiling by array,NoData,GPL10904,24,GSE48313,GSE48313
700,Comparison of M. tuberculosis and M. bovis BCG in diluted whole blood cultures,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE45386,GSE45386
701,Excessive Cytolytic Responses Predict Tuberculosis Relapse After Apparently Successful Treatment,Homo sapiens,Expression profiling by array,NoData,GPL570,57,GSE67589,GSE67589
702,STAT2 and IRF9-dependent IFN-I signaling restores ISRE-mediated transcription and anti-viral activity independent of STAT1,Mus musculus; Homo sapiens,Expression profiling by array,NoData,GPL15097 GPL10904,40,GSE50007,GSE50007
703,Everolimus protects podocytes via stabilizing TUBB2B and DCDC2 expression,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE66107,GSE66107
704,SKBR3 cells treated with epirubicin or hypoxia,Homo sapiens,Expression profiling by array,NoData,GPL570,19,GSE72362,GSE72362
705,Expression data from multiple myeloma cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE66618,GSE66618
706,Expression data from human GBMs,Homo sapiens,Expression profiling by array,NoData,GPL570,52,GSE51062,GSE51062
707,Simultaneous Host-Pathogen transcriptome analysis during Granulibacter bethesdensis infection of normal and chronic granulomatous disease neutrophils,Coxiella burnetii; Rickettsia rickettsii; Staphylococcus epidermidis ATCC 12228; Chlamydophila caviae GPIC; Homo sapiens; Chlamydia muridarum; Staphylococcus epidermidis RP62A; Staphylococcus aureus subsp. aureus MW2; Borrelia burgdorferi B31; Coxiella burnetii RSA 493; Chlamydia trachomatis D/UW-3/CX; Staphylococcus haemolyticus JCSC1435; Chlamydophila pneumoniae AR39; Granulibacter bethesdensis,Expression profiling by array,NoData,GPL4692 GPL570,123,GSE55849,GSE55849
708,ColXα1 and Tumor Infiltrating Lymphocytes: a Marker of Response to Neoadjuvant Therapy in Estrogen Receptor and Human Epidermal Growth Factor Receptor 2 Positive Breast Cancer,Homo sapiens,Expression profiling by array,NoData,GPL17586,11,GSE67982,GSE67982
