num, name, organism, type, Dataset, Platforms, samples, series1,series2
5596,"Histone Deacetylase Inhibitor prevents cell growth in Burkitt's lymphoma by regulating PI3K/Akt pathways and leading to up regulation of micro RNA-143, -145 and -101",Homo sapiens,Expression profiling by array,NoData,GPL4133,8,GSE48399,GSE48399
5597,Gene expression in peripheral mononuclear cells from septic patients secondary to community acquired pneumonia: patterns of gene expression and outcomes,Homo sapiens,Expression profiling by array,NoData,GPL4133,23,GSE48080,GSE48080
5598,Analysis of the expression of Ataxin-2-target genes,Homo sapiens,Expression profiling by array,NoData,GPL17077,12,GSE53189,GSE53189
5599,SNP6 and expression profiling of papillary carcinoma of the breast,Homo sapiens,SNP genotyping by SNP array; Expression profiling by array,NoData,GPL6801 GPL10558,48,GSE55640,GSE55640
5600,Expression profiling of papillary carcinoma of the breast,Homo sapiens,Expression profiling by array,NoData,GPL10558,32,GSE55639,GSE55639
5601,"Genome-wide analysis of B lymphocytes derived from human pluripotent stem cells, neonatal and adult sources",Homo sapiens,Expression profiling by array,NoData,GPL10558,19,GSE53572,GSE53572
5602,Non-steroidal Anti-inflammatory Drugs Decrease E2F1 Expression and Inhibit Cell Growth in Ovarian Cancer Cells,Homo sapiens,Expression profiling by array,NoData,GPL6104,9,GSE45052,GSE45052
5603,"Quinacrine Overcomes Resistance to Erlotinib by Inhibiting FACT, Nuclear Factor-kappa B and Cell Cycle Progression in Non-Small Cell Lung Cancer",Homo sapiens,Expression profiling by array,NoData,GPL17692,24,GSE57422,GSE57422
5604,89 NSCLC patients with gene expression profiles and matching CT imaging data available at TCIA.,Homo sapiens,Expression profiling by array,NoData,GPL15048,89,GSE58661,GSE58661
5605,An epigenetically distinct breast cancer cell subpopulation promotes collective invasion,Homo sapiens,Expression profiling by array,NoData,GPL10558,26,GSE58643,GSE58643
5606,"DHT-AR, E2-AR and R5020-AR target gene profiles in LNCaP",Homo sapiens,Expression profiling by array,NoData,GPL17077,8,GSE58615,GSE58615
5607,Internal validation cohort of breast cancers for development of ClinicoMolecular Triad Classification,Homo sapiens,Expression profiling by array,NoData,GPL6883,340,GSE45725,GSE45725
5608,Lung adenocarcinoma subtypes definable by lung development-related miRNA expression profiles in association with clinicopathologic features,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL7341 GPL6480,188,GSE51855,GSE51855
5609,Lung adenocarcinoma subtypes definable by lung development-related miRNA expression profiles in association with clinicopathologic features [pre-miRNA analysis - Whole Human Genome 4 x 44K Microarray],Homo sapiens,Expression profiling by array,NoData,GPL6480,4,GSE51854,GSE51854
5610,Lung adenocarcinoma subtypes definable by lung development-related miRNA expression profiles in association with clinicopathologic features [mRNA analysis - Whole Human Genome 4 x 44K Microarray],Homo sapiens,Expression profiling by array,NoData,GPL6480,53,GSE51852,GSE51852
5611,Expression data from biopsies of TGP patients,Homo sapiens,Expression profiling by array,NoData,GPL6244,28,GSE58601,GSE58601
5612,Sex dependent gene expression in human pluripotent stem cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE58591,GSE58591
5613,PRPF6 regulated alternative splicing in colon cancer cell lines,Homo sapiens,Expression profiling by array,NoData,GPL15950,18,GSE56846,GSE56846
5614,Functional analysis of ABCB5 in melanoma cells,Homo sapiens,Expression profiling by array,NoData,GPL571,12,GSE38290,GSE38290
5615,SEQC Project,Rattus norvegicus; synthetic construct; Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,NoData,NoData,4521,GSE47792,GSE47792
5616,Cyclosporine in patients with atopic dermatitis modulates activated inflammatory pathways and reverses epidermal pathology,Homo sapiens,Expression profiling by array,NoData,GPL570,109,GSE58558,GSE58558
5617,Human memory T cells of the bone marrow are resting and maintain long-lasting memory,Homo sapiens,Expression profiling by array,NoData,GPL570,28,GSE50677,GSE50677
5618,Chemotherapy induced dynamic gene expression changes in vivo are prognostic in ovarian cancer,Homo sapiens,Expression profiling by array,NoData,GPL10558,101,GSE49577,GSE49577
5619,miR-145 transfected PC3 cells,Homo sapiens,Expression profiling by array,NoData,GPL4133,4,GSE58295,GSE58295
5620,Inhibition of Hedgehog Signaling Pathway Impairs Cancer Cell Growth via Promotion of Autophagy,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE54936,GSE54936
5621,Klinefelter Syndrome testicular gene expression profile by a whole genome microarray approach.,Homo sapiens,Expression profiling by array,NoData,GPL13693,12,GSE54023,GSE54023
5622,Transcriptional landscape of aging in humans,Homo sapiens,Expression profiling by array,NoData,GPL10558 GPL6947,359,GSE58137,GSE58137
5623,Gene Expression Profiling of High Altitude Polycythemia in Han Chinese migrated to Qinghai-Tibetan Plateau,Homo sapiens,Expression profiling by array,NoData,GPL570,10,GSE29977,GSE29977
5624,TCAB1��A Potential Target for Diagnosis and Therapy in Head and Neck Cancers,Homo sapiens,Expression profiling by array,NoData,GPL6244,2,GSE54224,GSE54224
5625,Control of 5mC and 5hmC by TET dioxygenases in human embryonic carcinoma cells,Homo sapiens,Expression profiling by array; Methylation profiling by high throughput sequencing,NoData,GPL11154 GPL6244,22,GSE51903,GSE51903
5626,Control of 5mC and 5hmC by TET dioxygenases in human embryonic carcinoma cells [Microarray],Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE51901,GSE51901
5627,Identification of direct androgen-target genes in the prostate cancer cell line LNCaP,Homo sapiens,Expression profiling by array,NoData,GPL1456,14,GSE22372,GSE22372
5628,Gene expression profiling of liver cancers,Homo sapiens,Expression profiling by array,NoData,GPL10553,48,GSE22405,GSE22405
5629,Global gene expression analysis for neuron stem cells (NSC) derived from iPSCs with Fanconi Anemia,Homo sapiens,Expression profiling by array,NoData,GPL15207,9,GSE40865,GSE40865
5630,Comparison of gene expression between mandibular and iliac bone-derived cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE58474,GSE58474
5631,Amniotic fluid RNA gene expression profiling provides insights into the phenotype of Turner syndrome,Homo sapiens,Expression profiling by array,NoData,GPL570,10,GSE58435,GSE58435
5632,Mtg16 regulates E protein activity and lineage specification in dendritic cell development,Homo sapiens; Mus musculus,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL11154 GPL6246,5,GSE43963,GSE43963
5633,Gene expression profiling of breast fibroadenomas,Homo sapiens,Expression profiling by array,NoData,GPL17811,10,GSE55594,GSE55594
5634,Bloom syndrome protein modulates protein-coding gene and miRNA expression as a function of G4 DNA content,Homo sapiens; Mus musculus,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL14592 GPL17537 GPL5175,74,GSE54502,GSE54502
5635,FOXO4 knockdown in LNCaP prostate cancer cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE58403,GSE58403
5636,Translational validation of personalized treatment strategy based on genetic characteristics of glioblastoma,Homo sapiens,Expression profiling by array,NoData,GPL6244,130,GSE58401,GSE58401
5637,Translational validation of personalized treatment strategy based on genetic characteristics of glioblastoma [xenograft],Homo sapiens,Expression profiling by array,NoData,GPL6244,25,GSE58400,GSE58400
5638,Translational validation of personalized treatment strategy based on genetic characteristics of glioblastoma [surgical samples],Homo sapiens,Expression profiling by array,NoData,GPL6244,105,GSE58399,GSE58399
5639,Gene expression analysis of human keratinocytes (HaCaTs) after non-thermal plasma treatment,Homo sapiens,Expression profiling by array,NoData,GPL8971,38,GSE58395,GSE58395
5640,Cyclic mechanical stretch-induced gene expression,Homo sapiens,Expression profiling by array,NoData,GPL13607,40,GSE58389,GSE58389
5641,Expression data from feline liver tissue,Homo sapiens; Felis catus,Expression profiling by array,NoData,GPL10739,8,GSE30040,GSE30040
5642,Immune response to MVA85A or placebo in BCG-vaccinated South African infants at day 1 post-vaccination,Homo sapiens,Expression profiling by array,NoData,GPL10558,82,GSE56559,GSE56559
5643,Immune response to MVA85A or placebo in BCG-vaccinated South African infants at days 0 and 28 post-vaccination,Homo sapiens,Expression profiling by array,NoData,GPL10558,80,GSE56561,GSE56561
5644,Environmental factors transmitted by aryl hydrocarbon receptor influence severity of psoriatic skin inflammation,Homo sapiens; Mus musculus,Expression profiling by array; Expression profiling by high throughput sequencing,NoData,GPL11154 GPL1261,96,GSE47965,GSE47965
5645,Differential actions of selective frankincense essential oil versus non-selective sandalwood essential oil induced bladder cancer cell cytotoxicity: A microarray and bioinformatics approach,Homo sapiens,Expression profiling by array,NoData,GPL6883,19,GSE53171,GSE53171
5646,Expression data from human metastatic melanoma cell lines,Homo sapiens,Expression profiling by array,NoData,GPL571,15,GSE56717,GSE56717
5647,Gene expression profiling in MCF-7 cells exposed to blackcurrant extract.,Homo sapiens,Expression profiling by array,NoData,GPL17077,2,GSE58304,GSE58304
5648,Expression data from human SEMDJL1 skin fibroblasts with recessive B3GALT6 mutations (GalT-II deficiency),Homo sapiens,Expression profiling by array,NoData,GPL6244,5,GSE58312,GSE58312
5649,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption,Homo sapiens,Expression profiling by array,NoData,GPL10558,36,GSE58350,GSE58350
5650,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (II),Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE58349,GSE58349
5651,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (I),Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE58348,GSE58348
5652,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (IV),Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE58364,GSE58364
5653,The Anti-Aging and Tumor Suppressor Protein Klotho Affects Signaling Pathwaysin a Human Oligodendroglioma Cell Line,Homo sapiens,Expression profiling by array,NoData,GPL5175,6,GSE51536,GSE51536
5654,Banking Placental Tissue: An Optimized Collection Procedure for Genome-Wide Analysis of Nucleic Acids,Homo sapiens,Methylation profiling by genome tiling array; Expression profiling by array,NoData,GPL10558 GPL13534,120,GSE55440,GSE55440
5655,Banking Placental Tissue: An Optimized Collection Procedure for Genome-Wide Analysis of Nucleic Acids [gene expression],Homo sapiens,Expression profiling by array,NoData,GPL10558,72,GSE55439,GSE55439
5656,"LMKB/MARF1 localizes to mRNA processing bodies, interacts with Ge-1, and regulates IFI44L gene expression",Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE55974,GSE55974
5657,Regulation of Pkm2 by miR-122.,Homo sapiens,Expression profiling by array,NoData,GPL6883,7,GSE29907,GSE29907
5658,Transcript Level Expression Profiling: anticancer pathways of Smilax Glabra rhizome extract (SW) [HepG2 cells],Homo sapiens,Expression profiling by array,NoData,GPL6244,2,GSE58201,GSE58201
5659,MicroRNA expression profile in Head and Neck Cancer: HOX-cluster embedded microRNA-196 and microRNA-10b dysregulation is implicated in cell proliferation,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL4133 GPL10332 GPL9770,42,GSE31277,GSE31277
5660,Early tissue responses to etanercept in psoriasis lesions,Homo sapiens,Expression profiling by array,NoData,GPL570,34,GSE47751,GSE47751
5661,SSEA-4 labels a subset of poor prognosis-associated osteosarcoma-initiating cells that respond to differentiation induction,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE58209,GSE58209
5662,"Upregulation of immunoproteasome subunits in myositis indicates active inflammation with involvement of antigen presenting cells, CD8 T-cells and IFNγ",Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE58173,GSE58173
5663,"Gene expression profiling of PBMC from normal individuals, chronic hepatitis B carriers and hepatocellular carcinoma patients",Homo sapiens,Expression profiling by array,NoData,GPL570,27,GSE58208,GSE58208
5664,Erythropoietin suppresses the activation of pro-apoptotic genes in head and neck squamous cell carcinoma xenografts exposed to surgical trauma,Homo sapiens,Expression profiling by array,NoData,GPL13376,26,GSE58194,GSE58194
5665,Biological effects of platelet-derived growth factor receptor alpha lockade in uterine cancer,Homo sapiens,Expression profiling by array,NoData,GPL10558,18,GSE55483,GSE55483
5666,TET1 is a maintenance DNA demethylase that prevents methylation spreading in adult cells [cDNA microarray],Homo sapiens,Expression profiling by array,NoData,GPL16686,8,GSE50016,GSE50016
5667,Effect of Notch1 pathway activation on high-grade glioma cells,Homo sapiens,Expression profiling by array,NoData,GPL11532,8,GSE44561,GSE44561
5668,Analysis of cord blood CD4T cells,Homo sapiens,Expression profiling by array,NoData,GPL16699,15,GSE51133,GSE51133
5669,TET1 is a maintenance DNA demethylase that prevents methylation spreading in adult cells,Homo sapiens,Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing; Expression profiling by array,NoData,GPL11154 GPL16686 GPL9115,25,GSE44039,GSE44039
5670,Transcripts induced by recombinant IFNa in healthy blood monocytes at different time points,Homo sapiens,Expression profiling by array,NoData,GPL96 GPL97,40,GSE46911,GSE46911
5671,Transcripts differentially expressed in healthy blood mDCs compared to healthy monocytes,Homo sapiens,Expression profiling by array,NoData,GPL97 GPL96,20,GSE46913,GSE46913
5672,Differentially expressed transcripts in SLE blood monocytes,Homo sapiens,Expression profiling by array,NoData,GPL96 GPL97,20,GSE46907,GSE46907
5673,Systemic lupus erythematosus,Homo sapiens,Expression profiling by array,NoData,GPL96 GPL97,142,GSE46923,GSE46923
5674,SLE serum induced transcripts regulated by IFNa2b,Homo sapiens,Expression profiling by array,NoData,GPL96 GPL97,4,GSE46921,GSE46921
5675,Transcripts induced by exposure to SLE serum in healthy blood monocytes,Homo sapiens,Expression profiling by array,NoData,GPL97 GPL96,12,GSE46920,GSE46920
5676,Differentially expressed transcripts in SLE blood monocytes according to their capacity to induce mixed lymphocytic reaction,Homo sapiens,Expression profiling by array,NoData,GPL97 GPL96,46,GSE46917,GSE46917
5677,Physiologic Hypoxia Promotes Maintenance of CML Stem Cells Despite Effective BCR−ABL1 Inhibition,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE48294,GSE48294
5678,Expression data from human glioma cancer stem cell (CSC) specimens following knockdown of GREM1,Homo sapiens,Expression profiling by array,NoData,GPL17692,6,GSE52846,GSE52846
5679,"Novel Roles for ERK5 and Cofiin as Critical Mediators Linking Estrogen Receptor α-Driven Transcription, Actin Reorganization and Invasiveness in Breast cancer",Homo sapiens,Expression profiling by array,GDS5026,GPL96,8,GSE53394,GSE53394
5680,Integrated genomic analysis illustrates the central role of JAK-STAT pathway activation in myeloproliferative neoplasm pathogenesis,Homo sapiens,Expression profiling by array,NoData,GPL4685,116,GSE54646,GSE54646
5681,Integrated genomic analysis illustrates the central role of JAK-STAT pathway activation in myeloproliferative neoplasm pathogenesis [HEL cell lines],Homo sapiens,Expression profiling by array,NoData,GPL4685,12,GSE54645,GSE54645
5682,Integrated genomic analysis illustrates the central role of JAK-STAT pathway activation in myeloproliferative neoplasm pathogenesis [MPN patients],Homo sapiens,Expression profiling by array,NoData,GPL4685,104,GSE54644,GSE54644
5683,SPIB and BATF provide alternate determinants of IRF4 occupancy in Diffuse Large B-cell Lymphoma linked to disease heterogeneity.,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE50015,GSE50015
5684,"Effect of Selective Androgen Receptor Modulator (SARM) on Gene Expression in Triple-Negative Breast Cancer Cells, MDA-MB-231-AR",Homo sapiens,Expression profiling by array,NoData,GPL16686,2,GSE58196,GSE58196
5685,Human enteroendcrine cell responses to infection with Chlamydia trachomatis,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE58151,GSE58151
5686,Suppression of progenitor differentiation requires the long noncoding RNA ANCR,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,NoData,GPL11154 GPL9115 GPL570,14,GSE58161,GSE58161
5687,Transcriptomic effects of estradiol treatment on cultured human uterine smooth muscle cells,Homo sapiens,Expression profiling by array,NoData,GPL8950,22,GSE51470,GSE51470
5688,PADI4 acts as a coactivator of Tal1 by counteracting repressive histone arginine methylation at the IL6ST (gp130) promoter,Homo sapiens,Expression profiling by array,NoData,GPL13497,8,GSE54075,GSE54075
5689,Changes in gene expression during epithelial-mesenchymal transition in a breast cancer primary culture,Homo sapiens,Expression profiling by array,NoData,GPL4133,4,GSE53175,GSE53175
5690,Cooperativity and Equilibrium with FOXA1 Define Androgen Receptor Transcriptional Program [array],Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE54991,GSE54991
5691,Cooperativity and Equilibrium with FOXA1 Define Androgen Receptor Transcriptional Program,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,NoData,31,GSE55007,GSE55007
5692,Gene expression data from medulloblastoma tumor samples,Homo sapiens,Expression profiling by array,NoData,GPL570,73,GSE49243,GSE49243
5693,"Whole genome gene expression profiling in CD4+ T-cells, FACS-sorted based on CADM1/CD7 expression levels, in Adult T-cell Leukemia-lymphoma (ATL) patients, HTLV-1 carriers, and in healthy volunteers.",Homo sapiens,Expression profiling by array,NoData,GPL10332,21,GSE55851,GSE55851
5694,Cell senescence abrogates the immunomodulatory therapeutic potential of human mesenchymal stem cells,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL13497 GPL10850,32,GSE48662,GSE48662
5695,Seminoma and embryonal carcinoma footprints identified by analysis of integrated genome-wide epigenetic and expression profiles of germ cell cancer cell lines (gene expression data).,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE56381,GSE56381
5696,Gene expression profile of human endothelial cells with or without nanoparticles,Homo sapiens,Expression profiling by array,NoData,GPL6480,9,GSE51661,GSE51661
5697,Altered gene expression in blood and sputum from COPD patients with frequent exacerbations,Homo sapiens,Expression profiling by array,NoData,GPL570,226,GSE54837,GSE54837
5698,Final efficacy and biomarker analysis of the sorafenib arm of the BATTLE (Biomarker-Integrated Approaches of Targeted Therapy for Lung Cancer Elimination) trial,Homo sapiens,Expression profiling by array,NoData,GPL6244,37,GSE31428,GSE31428
5699,Interferon-gamma critically determines dendritic cell function,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE47621,GSE47621
5700,Broad-Spectrum Therapeutic Suppression of Metastatic Melanoma Through Nuclear Hormone Receptor Activation,Homo sapiens,Expression profiling by array,NoData,GPL10558,2,GSE48782,GSE48782
5701,siRNA-mediated knockdown of VAMP7 in NTERA2/D1 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE56102,GSE56102
5702,Expression data comparing chemoresistant (cisplatin and doxorubicin) hepatospheres and differentiated HCC cells,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE53005,GSE53005
5703,Expression profiles of human oral cancer cell lines under hypoxic conditions,Homo sapiens,Expression profiling by array,NoData,GPL18001,6,GSE52795,GSE52795
5704,Gene expression profile of hematopoietic stem cells (CD34+ cells) with or without nanoparticles,Homo sapiens,Expression profiling by array,NoData,GPL6480,12,GSE51421,GSE51421
5705,Loss of nuclear TDP-43 in ALS causes altered expression of splicing machinery and widespread dysregulation of RNA splicing in motor neurons [LCM],Homo sapiens,Expression profiling by array,NoData,GPL5188,12,GSE56500,GSE56500
5706,Loss of nuclear TDP-43 in ALS causes altered expression of splicing machinery and widespread dysregulation of RNA splicing in motor neurons,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL6193 GPL5188,42,GSE56504,GSE56504
5707,Seminoma and embryonal carcinoma footprints identified by analysis of integrated genome-wide epigenetic and expression profiles of germ cell cancer cell lines,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL10558 GPL16288 GPL13534,10,GSE56454,GSE56454
5708,miR-28 expression in the Burkitt lymphoma cell line P3HR1,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE56268,GSE56268
5709,A quantitative framework to evaluate modeling of cortical development by neural stem cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,105,GSE57595,GSE57595
5710,An EGFR-mutation signature reveals features of the EGFR-dependent phenotype and identifies MACC1 as an EGFR-associated regulator of MET.,Homo sapiens,Expression profiling by array,NoData,GPL6244,124,GSE31852,GSE31852
5711,Loss of nuclear TDP-43 in ALS causes altered expression of splicing machinery and widespread dysregulation of RNA splicing in motor neurons [fibroblasts],Homo sapiens,Expression profiling by array,NoData,GPL5188,19,GSE33855,GSE33855
5712,Molecular Profiles Associated with Calcineurin Inhibitor Toxicity Post-Kidney Transplant: Input to Chronic Allograft Dysfunction,Homo sapiens,Expression profiling by array,NoData,GPL571,55,GSE53605,GSE53605
5713,Analysis of global changes in gene expression induced by human polynucleotide phosphorylase (hPNPaseold-35),Homo sapiens,Expression profiling by array,NoData,GPL571,12,GSE53604,GSE53604
5714,Differential blood biomarkers and PBMC transcriptome profiles in normal-weight and obese individuals,Homo sapiens,Expression profiling by array,NoData,GPL10558,23,GSE55205,GSE55205
5715,Gene expression profile of C1013G/CXCR4 mutated WM cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE50683,GSE50683
5716,Regulation of NF-κB signaling by miR-21-3p and miR-27a-5p in Response to Oxidized Phospholipids in Human Aortic Endothelial Cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,18,GSE48006,GSE48006
5717,Expression data comparing Huh7 control and CD47 knockdown cells,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE47563,GSE47563
5718,Transcriptional profiling of human cancer cell lines upon ZMPSTE24 silencing,Homo sapiens,Expression profiling by array,NoData,GPL10558,16,GSE41799,GSE41799
5719,"Clinically non-involved skin of patients with psoriasis, lichen planus, and healthy individuals",Homo sapiens,Expression profiling by array,NoData,GPL14550,18,GSE58121,GSE58121
5720,Discordant disease course in a monozygotic twin pair with Juvenile Myelomonocytic Leukemia,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE45736,GSE45736
5721,Genome-wide analysis of miR-509-3p-mediated gene silencing in A549 lung cancer cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,4,GSE47522,GSE47522
5722,Comparision of gene expression in miR-17-92 cluster overexpression stable CCLP-1 cells with scrambled control CCLP-1 cells,Homo sapiens,Expression profiling by array,NoData,GPL13497,2,GSE58060,GSE58060
5723,Erythropoietin promotes breast tumorigenesis through tumor initiating cell self-renewal,Homo sapiens,Expression profiling by array,NoData,GPL4133,4,GSE51433,GSE51433
5724,Microarray analysis of colon carcinoma cell lines,Homo sapiens,Expression profiling by array,NoData,GPL6244,33,GSE46549,GSE46549
5725,A high-throughput screen to study the role of stem cells in hemangioma tumor formation,Homo sapiens,Expression profiling by array,NoData,GPL13607,34,GSE34989,GSE34989
5726,The conserved ubiquitin-like protein Hub1 plays a critical role in splicing in human cells,Homo sapiens,Expression profiling by array,NoData,GPL5188,6,GSE56878,GSE56878
5727,Expression data from periplaque regions in multiple sclerosis spinal cord,Homo sapiens,Expression profiling by array,NoData,GPL570,16,GSE52139,GSE52139
5728,Profiling of Cell cycle genes dysregulated by knockdown of lncRNAs at 8q24.21 using Nanostring Gene Expression Assay,Homo sapiens,Expression profiling by array,NoData,GPL15744,24,GSE38966,GSE38966
5729,Expression data from baseline and post-endurance training in human PBMCs,Homo sapiens,Expression profiling by array,NoData,GPL6244,26,GSE57999,GSE57999
5730,Identifying the downstream effectors of E2F7 in squamous cell carcinoma (SCC) cells,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE58074,GSE58074
5731,Expression profile of Breast Cancer tumors in Brazilian women,Homo sapiens,Expression profiling by array,NoData,GPL5175,24,GSE58102,GSE58102
5732,MMP3 treatment of Panc-2 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE50931,GSE50931
5733,"Slu7 is essential for liver differentiation, metabolism and quiescence",Homo sapiens,Expression profiling by array,NoData,GPL5188,6,GSE54090,GSE54090
5734,liver cancer tissues: tumor tissues vs. non-tumor tissues,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL13825,14,GSE58043,GSE58043
5735,"Genomic analysis of non-NF2 meningiomas reveals mutations in TRAF7, KLF4, AKT1, and SMO.",Homo sapiens,Expression profiling by array,NoData,GPL10558,114,GSE58037,GSE58037
5736,EDHB treated KYSE170,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE58024,GSE58024
5737,Combinatorial flexibility of cytokine during Human T helper cells differentiation,Homo sapiens,Expression profiling by array,NoData,GPL11532,48,GSE54627,GSE54627
5738,Integrated bioinformatic and wet-lab approach to identify potential oncogenic networks in neuroblastoma: MSX1,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE16481,GSE16481
5739,Global impact of Salmonella type III secretion effector SteA on host cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,9,GSE51043,GSE51043
5740,PBMCs exposed to the Mycobacterium tuberculosis H37Ra strain,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE16250,GSE16250
5741,Gene expression analysis of stimulated primary ASM cells,Homo sapiens,Expression profiling by array,NoData,GPL15018 GPL13607,24,GSE57766,GSE57766
5742,Gene expression analysis of stimulated primary ASM cells [mRNA],Homo sapiens,Expression profiling by array,NoData,GPL13607,12,GSE57764,GSE57764
5743,Gene Expression Data in Human Monocyte-derived Dendritic Cell (MoDC)  from Young and Aged Donors,Homo sapiens,Expression profiling by array,NoData,GPL571,9,GSE58015,GSE58015
5744,Side population cells in human primary melanoma,Homo sapiens,Expression profiling by array,NoData,GPL4133,8,GSE48838,GSE48838
5745,RNA-Seq and expression microarray highlight different aspects of the fetal amniotic fluid transcriptome [microarray],Homo sapiens,Expression profiling by array,NoData,GPL570,5,GSE49891,GSE49891
5746,RNA-Seq and expression microarray highlight different aspects of the fetal amniotic fluid transcriptome,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,NoData,GPL570 GPL11154,10,GSE49893,GSE49893
5747,"DNA methylation alteration and gene expression sigature in brainstem, thalamic, and supratentorial gliomas",Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL570 GPL13534,66,GSE50774,GSE50774
5748,Gene expression in FIH-1 silenced human nucleus pulposus cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE55844,GSE55844
5749,Epigenetic Reprogramming Modulates Malignant Properties of Human Liver Cancer Cells,Homo sapiens,Expression profiling by array,NoData,GPL14951,60,GSE47932,GSE47932
5750,Genome-wide analysis of gene expression variation in CD4+ T cells from patients with active rheumatoid arthritis (RA).,Homo sapiens,Expression profiling by array,NoData,GPL2507,26,GSE55468,GSE55468
5751,Gene expression profiling in THP1 cells after PAPD5 or GLD2 knockdown,Homo sapiens,Expression profiling by array,NoData,GPL6884,6,GSE57939,GSE57939
5752,Hepatosplenic T cell lymphoma,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing; Genome variation profiling by SNP array; Genome variation profiling by genome tiling array,NoData,NoData,24,GSE57944,GSE57944
5753,Towards epigenetic understanding and therapy of insulin resistance by intranuclear insulin,Homo sapiens; Mus musculus,Expression profiling by array; Methylation profiling by genome tiling array,NoData,GPL1261 GPL15207 GPL13534,24,GSE57928,GSE57928
5754,Regulatory interplay of Cockayne syndrome B ATPase and stress-response gene ATF3 following genotoxic stress,Homo sapiens,Expression profiling by array,NoData,GPL6244,10,GSE57923,GSE57923
5755,Towards epigenetic understanding and therapy of insulin resistance by intranuclear insulin [human cell line gene expression],Homo sapiens,Expression profiling by array,NoData,GPL15207,9,GSE57893,GSE57893
5756,Non-circadian expression masking clock-driven weak transcription rhythms in U2OS cells,Homo sapiens,Expression profiling by array,NoData,GPL18721,32,GSE57891,GSE57891
5757,"SCL008: icSARS CoV, icSARS-deltaNSP16 or icSARS ExoNI infections of the 2B4 clonal derivative of Calu-3 cells - Time course",Homo sapiens,Expression profiling by array,NoData,GPL6480,93,GSE48142,GSE48142
5758,MiRNome and transcriptome aided pathway analysis in human regulatory T cells,Homo sapiens,Expression profiling by array,NoData,GPL10332,8,GSE54953,GSE54953
5759,BCR-ABL1 and a dominant negative isoform of Ikaros cooperate to induce human acute myeloid leukemia,Homo sapiens,Expression profiling by array,NoData,GPL10558,16,GSE45452,GSE45452
