num, name, organism, type, Dataset, Platforms, samples, series
350,"Imatinib effect on Philadelphia chromosome positive acute lymphoblastic leukemia cells","Homo sapiens","Expression profiling by array, count, 2 agent, 4 cell line sets","GDS4175","GPL571",8,"GSE23743"
351,"Effect of protease-resistant (PML-RAR)α on U937 cell line ","Homo sapiens","Expression profiling by array, count, 3 genotype/variation, 2 time sets","GDS4172","GPL570",12,"GSE21550"
352,"Chronic lymphocytic leukemia: peripheral blood B cells (HG-U133B)","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4168","GPL97",52,"GSE22529"
353,"Chronic lymphocytic leukemia: peripheral blood B cells (HG-U133A)","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS4167","GPL96",52,"GSE22529"
354,"GB virus C effect on hepatitis C virus (HCV)/human immunodeficiency virus (HIV) co-infected patients: liver","Homo sapiens","Expression profiling by array, transformed count, 2 infection sets","GDS4165","GPL8715",10,"GSE16593"
355,"Recombinant Interferon α effect on natural killer cells in vitro","Homo sapiens","Expression profiling by array, count, 2 agent, 3 dose, 2 growth protocol sets","GDS4163","GPL570",4,"GSE15743"
356,"Nonhuman primate model of Lassa fever: liver","Macaca mulatta; Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 4 infection, 11 time sets","GDS4161","GPL570",20,"GSE12254"
357,"Hepatitis C Virus infection effect on Huh7 hepatoma cells: time course","Homo sapiens","Expression profiling by array, count, 2 infection, 5 time sets","GDS4160","GPL570",28,"GSE20948"
358,"LNCap prostate cancer cell line response to loss of COnstitutive Photomorphogenic-1, ETV1 and c-JUN ","Homo sapiens","Expression profiling by array, transformed count, 3 genotype/variation sets","GDS4159","GPL570",15,"GSE27914"
359,"LNCap prostate cancer cell line response to loss of COnstitutive Photomorphogenic-1 and ETV1","Homo sapiens","Expression profiling by array, transformed count, 3 genotype/variation sets","GDS4158","GPL570",16,"GSE27914"
360,"Parkinson's disease induced pluripotent stem cell model with triplication of the α-synuclein locus","Homo sapiens","Expression profiling by array, transformed count, 3 cell line, 2 cell type, 3 genotype/variation sets","GDS4156","GPL570",5,"GSE30792"
361,"Parkinson's disease: post-mortem medullary regions","Homo sapiens","Expression profiling by array, count, 2 disease state, 11 individual, 2 tissue sets","GDS4154","GPL571",22,"GSE19587"
362,"Multiple sclerosis patients with high serum semaphorin4A levels: peripheral blood cells","Homo sapiens","Expression profiling by array, count, 2 disease state, 2 genotype/variation sets","GDS4152","GPL570",10,"GSE26484"
363,"Non-phosphorylated FTY720 effect on immortalized microglia HMO6 cell line","Homo sapiens","Expression profiling by array, transformed count, 4 agent sets","GDS4151","GPL6244",4,"GSE28642"
364,"Identical twins discordant for Multiple sclerosis: CD4+ and CD8+ T cells","Homo sapiens","Expression profiling by array, count, 2 cell type, 2 disease state, 4 individual sets","GDS4150","GPL570",16,"GSE16461"
365,"Relapsing-remitting multiple sclerosis therapy of Interferon-β Betaferon or Rebif: peripheral mononuclear blood cells  ","Homo sapiens","Expression profiling by array, transformed count, 3 agent, 2 individual, 4 time sets","GDS4147","GPL570",32,"GSE26104"
366,"Subcutaneous Interferon-beta-1b treatment in relapsing-remitting multiple sclerosis (U133 B): peripheral mononuclear blood cells","Homo sapiens","Expression profiling by array, count, 2 gender, 5 time sets","GDS4146","GPL97",125,"GSE24427"
367,"Subcutaneous Interferon-beta-1b treatment in relapsing-remitting multiple sclerosis (U133 A): peripheral mononuclear blood cells","Homo sapiens","Expression profiling by array, count, 2 gender, 5 time sets","GDS4145","GPL96",125,"GSE24427"
368,"Perforin 1 polymorphism effect on male patients with primary progressive multiple sclerosis: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4142","GPL570",10,"GSE23205"
369,"Alzheimer's disease: induced pluripotent stem cells with Presenilin 2 mutation (N141)","Homo sapiens","Expression profiling by array, count, 3 cell line sets","GDS4141","GPL570",4,"GSE28379"
370,"Nasu-Hakola disease model: DAP12 knockdown THP-1 clones","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 genotype/variation sets","GDS4137","GPL6244",4,"GSE33503"
371,"Various stages of Alzheimer's disease: laser-captured hippocampal CA1 gray matter","Homo sapiens","Expression profiling by array, count, 19 age, 4 disease state sets","GDS4136","GPL570",30,"GSE28146"
372,"Postmortem temporal cortex from Medical Research Council Cognitive Function and Ageing Study (MRC-CFAS) cohort: astrocytes","Homo sapiens","Expression profiling by array, count, 3 disease state, 2 genotype/variation sets","GDS4135","GPL570",18,"GSE29652"
373,"Obese women with polycystic ovary syndrome and obese, healthy women: skeletal muscle","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS4133","GPL570",23,"GSE8157"
374,"PPAR-γ agonist pioglitazone effect on obese women with polycystic ovary syndrome: skeletal muscle","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS4132","GPL570",20,"GSE8157"
375,"Endoplasmic reticulum stress effect on lymphoblastoid cells of monozygotic twins","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 genotype/variation, 2 individual, 26 other sets","GDS4130","GPL570",104,"GSE19519"
376,"Endoplasmic reticulum stress effect on lymphoblastoid cells of unrelated individuals","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 60 individual sets","GDS4129","GPL570",120,"GSE19519"
377,"Model of cerebral aging and Alzheimer's disease: temporal cortex","Homo sapiens; Microcebus murinus","Expression profiling by array, count, 2 age, 2 disease state, 2 gender sets","GDS4128","GPL570",18,"GSE21779"
378,"Genetic reprogramming of prostate cancer-associated stromal cells ","Homo sapiens","Expression profiling by array, transformed count, 5 cell type, 2 protocol sets","GDS4124","GPL570",6,"GSE35373"
379,"Isoflavone and 3,3’-diindolylmethane effect on C4-2B prostate cancer cells","Homo sapiens","Expression profiling by array, count, 3 agent, 4 time sets","GDS4123","GPL570",5,"GSE35324"
380,"Hepatocyte growth factor treatment of prostate cancer DU145 cell line: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 3 time sets","GDS4121","GPL570",6,"GSE16659"
381,"Androgen deprivation effect on prostate xenograft tumor LuCaP35","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS4120","GPL570",10,"GSE33316"
382,"Reactive stroma of breast and prostate cancer","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 tissue sets","GDS4114","GPL570",24,"GSE26910"
383,"Late passage LNCaP prostate tumor cells treated with androgen receptor shRNA or androgen R1881","Homo sapiens","Expression profiling by array, count, 3 genotype/variation sets","GDS4113","GPL570",6,"GSE22483"
384,"Inactivation of wt-p53 function in hTERT immortalized prostate epithelial EP156T cells: time course","Homo sapiens","Expression profiling by array, transformed count, 7 genotype/variation, 3 infection, 27 other, 9 time sets","GDS4110","GPL571",27,"GSE23038"
385,"Recurrent and non-recurrent prostate cancer primary tumors","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS4109","GPL96",79,"GSE25136"
386,"KUCaP-2 xenograft model of castration-resistant prostate cancer: various stages","Homo sapiens","Expression profiling by array, transformed count, 3 development stage sets","GDS4107","GPL570",12,"GSE21887"
387,"Transforming growth factor beta effect on Panc-1 pancreatic adenocarcinoma cell line","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4106","GPL570",6,"GSE23952"
388,"Masitinib-gemcitabin effect on gemcitabine-refractory Mia Paca-2 pancreatic tumor cell line","Homo sapiens","Expression profiling by array, transformed count, 4 agent sets","GDS4105","GPL570",4,"GSE17987"
389,"Long-term heat-stress effect on skeletal muscle","Homo sapiens","Expression profiling by array, count, 5 individual, 2 stress sets","GDS4104","GPL570",10,"GSE12474"
390,"ICF cohort: Whole-tissue pancreatic ductal adenocarcinoma","Homo sapiens","Expression profiling by array, transformed count, 36 individual, 2 tissue sets","GDS4103","GPL570",78,"GSE15471"
391,"Pancreatic Tumor and Normal tissue samples","Homo sapiens","Expression profiling by array, count, 2 tissue sets","GDS4102","GPL570",52,"GSE16515"
392,"Response of pancreatic and colorectal cancer cells to CD24 down-regulation by monoclonal antibody or small interfering RNA ","Homo sapiens","Expression profiling by array, count, 5 agent, 2 cell line sets","GDS4101","GPL571",8,"GSE15102"
393,"Saliva of pre-treatment pancreatic cancer patients","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS4100","GPL570",24,"GSE14245"
394,"Mutant p53 depletion effect on MDA-468.shp53 breast tumor cell line","Homo sapiens","Expression profiling by array, transformed count, 2 growth protocol sets","GDS4096","GPL6244",6,"GSE31812"
395,"Tamoxifen effect on SRC-1-deficient endocrine-resistant breast cancer cell line LY2","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 genotype/variation sets","GDS4095","GPL570",14,"GSE28645"
396,"Anastrozole/Fulvestrant/Gefitinib neoadjuvant therapy of estrogen receptor positive breast cancer patients: tumor core biopsies","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 4 disease state, 2 protocol, 2 specimen sets","GDS4093","GPL570",22,"GSE33658"
397,"Breast cancer cell lines treated with methylated or unmethylated DNA oligos","Homo sapiens","Expression profiling by array, transformed count, 4 agent, 2 cell line sets","GDS4092","GPL570",12,"GSE22865"
398,"Cancer stem cell population in highly metastatic variants of MDA-MB-231 breast cancer cell line","Homo sapiens","Expression profiling by array, transformed count, 3 cell line, 2 genotype/variation sets","GDS4091","GPL6244",6,"GSE25976"
399,"Proteasome inhibitor Bortezomib or proteasome subunit knockdown effect on MCF7 breast cancer cells","Homo sapiens","Expression profiling by array, transformed count, 4 agent, 5 genotype/variation, 2 protocol sets","GDS4090","GPL14010",21,"GSE31118"
400,"Proteasome inhibitor Bortezomib effect on MCF7 breast cancer cells","Homo sapiens","Expression profiling by array, transformed count, 4 agent sets","GDS4089","GPL10558",12,"GSE30931"
401,"Variable breast cancer tumor sample collection methods ","Homo sapiens","Expression profiling by array, transformed count, 11 individual, 35 other, 2 protocol, 6 time sets","GDS4088","GPL96",86,"GSE25011"
402,"Estrogen receptor-positive and -negative breast cancer tumors","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4085","GPL11097",19,"GSE32394"
403,"Doxorubicin-resistant MCF-7/ADR breast cancer cells","Homo sapiens","Expression profiling by array, transformed count, 2 cell line, 2 genotype/variation sets","GDS4084","GPL571",4,"GSE24460"
404,"Lapatinib-resistant HER2-positive breast tumor cells","Homo sapiens","Expression profiling by array, count, 4 agent, 2 cell line, 2 genotype/variation sets","GDS4083","GPL570",18,"GSE16179"
405,"Trans-retinoic acid and hydrocortisone induction of Na+/I- symporter in MCF-7 breast cancer cells ","Homo sapiens","Expression profiling by array, transformed count, 3 agent sets","GDS4082","GPL570",6,"GSE32161"
406,"GATA3 ectopic expression effect on MDA-MB-231 breast cancer cells","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4080","GPL570",6,"GSE24249"
407,"Breast lipotransfer white adipose tissue CD34+ cells","Homo sapiens","Expression profiling by array, transformed count, 2 cell type sets","GDS4079","GPL6244",4,"GSE31415"
408,"Acquired paclitaxel-resistant MDA-MB-231 cancer cells response to bexarotene treatment","Homo sapiens","Expression profiling by array, count, 3 agent, 2 cell type sets","GDS4078","GPL96",16,"GSE12791"
409,"Zinc finger transcription factor induced fulvestrant resistant MCF7-R73 breast cancer cell lines","Homo sapiens","Expression profiling by array, count, 7 genotype/variation, 2 infection sets","GDS4074","GPL570",14,"GSE27444"
410,"TGFβ1 effect on HMEC-TR mammary epithelial cell line deficient in Smad4 or TIF1γ ","Homo sapiens","Expression profiling by array, count, 2 agent, 3 genotype/variation sets","GDS4071","GPL570",11,"GSE28448"
411,"Mutant-p53 and Pin1 depleted MDA-MB-231 breast cancer cells","Homo sapiens","Expression profiling by array, transformed count, 3 genotype/variation sets","GDS4070","GPL571",9,"GSE26262"
412,"Triple negative breast cancer","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS4069","GPL6244",19,"GSE27447"
413,"Metastatic hybrid cell line of estrogen receptor-negative and -positive breast cancer cells in mouse bone marrow","Homo sapiens","Expression profiling by array, transformed count, 3 cell line, 3 genotype/variation sets","GDS4067","GPL570",9,"GSE27515"
414,"Ovarian cancer intraperitoneal xenograft model","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 cell type, 2 genotype/variation sets","GDS4066","GPL570",15,"GSE22600"
415,"Effect of estrogen receptor- or retinoic acid receptor-knockdown on estrogen-sensitive MCF7 breast cancer cells","Homo sapiens","Expression profiling by array, count, 2 agent, 3 dose, 3 genotype/variation sets","GDS4065","GPL570",12,"GSE26298"
416,"Estrogen or insulin-like growth factor I stimulated MCF-7 breast cancer cells: time course","Homo sapiens","Expression profiling by array, transformed count, 3 agent, 2 time sets","GDS4063","GPL571",17,"GSE26834"
417,"Estrogen receptor alpha-silenced MCF7 breast cancer cells","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4061","GPL570",6,"GSE27473"
418,"Gamma-tocotrienol effect on breast cancer MCF-7 cells ","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4059","GPL571",8,"GSE21946"
419,"ER-positive/HER2-negative and ER-negative/HER2-negative breast cancer biopsies (MDACC/IGR cohort)","Homo sapiens","Expression profiling by array, transformed count, 6 disease state, 3 genotype/variation, 3 other, 4 specimen sets","GDS4057","GPL96",103,"GSE22093"
420,"ER-positive/HER2-negative and ER-negative/HER2-negative breast cancer biopsies (USO-02103 cohort)","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 2 genotype/variation, 2 other, 4 specimen sets","GDS4056","GPL96",61,"GSE23988"
421,"Breast tumor-derived stromal-epithelial cocultures","Homo sapiens","Expression profiling by array, transformed count, 3 growth protocol, 2 tissue sets","GDS4055","GPL570",17,"GSE27018"
422,"microRNA-221/222 knockdown effect on fulvestrant-resistant MCF7 breast cancer cells","Homo sapiens","Expression profiling by array, transformed count, 3 genotype/variation sets","GDS4054","GPL570",9,"GSE19777"
423,"Postmenopausal estrogen receptor α-positive breast tumor with PIK3CA mutation","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation sets","GDS4053","GPL570",43,"GSE22035"
424,"Estradiol effect on ERK1/ERK2-deficient MCF-7 breast adenocarcinoma cells: time course","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 3 genotype/variation, 2 time sets","GDS4052","GPL571",30,"GSE24592"
425,"Tamoxifen-resistant breast cancer cell line MCF7 subclones","Homo sapiens","Expression profiling by array, count, 4 agent, 2 genotype/variation sets","GDS4051","GPL570",24,"GSE26459"
426,"Chronic myelogenous leukemia CD34+CD38- cells response to histone deacetylase inhibitor analog and imatinib mesylate","Homo sapiens","Expression profiling by array, transformed count, 4 agent sets","GDS4047","GPL570",12,"GSE20876"
427,"Fusion oncogenes ZMYM2/FGFR1, BCR/FGFR1 or BCR/ABL1 in cord blood CD34+ cells","Homo sapiens","Expression profiling by array, transformed count, 4 genotype/variation sets","GDS4046","GPL570",12,"GSE15811"
428,"CBFA2T3 knockdown and ectopic IKKbeta(EE) expression effect on Non-Hodgkin's lymphoma Reh cells","Homo sapiens","Expression profiling by array, transformed count, 4 genotype/variation sets","GDS4045","GPL570",8,"GSE20115"
429,"Glycogen synthase kinase 3 inhibitor effect on MLL leukemia cells","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS4043","GPL6244",5,"GSE19736"
430,"Shiga toxin type 1 effect on myelogenous leukemia cell line THP-1","Homo sapiens","Expression profiling by array, count, 3 agent sets","GDS4041","GPL570",9,"GSE19315"
431,"Normal placentae at first-trimester, second-trimester, and term","Homo sapiens","Expression profiling by array, transformed count, 3 development stage sets","GDS4037","GPL570",12,"GSE9984"
432,"HUVECs infected with Staphylococcus aureus isolates from blood and anterior nares","Homo sapiens","Expression profiling by array, count, 4 infection sets","GDS4030","GPL570",12,"GSE13736"
433,"In vitro expanded and re-differentiated pancreatic islet cells","Homo sapiens","Expression profiling by array, transformed count, 3 cell type, 4 protocol, 5 time sets","GDS4027","GPL570",33,"GSE15543"
434,"Progressive diabetic neuropathy: sural nerve","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS4012","GPL10526",35,"GSE24290"
435,"Pancreatic islet-like cell clusters derived from T3 embryonic stem cells","Homo sapiens","Expression profiling by array, transformed count, 3 cell type sets","GDS4011","GPL570",7,"GSE14503"
436,"Myelomatous bone marrow cultures: contact versus contactless conditions","Homo sapiens","Expression profiling by array, transformed count, 2 individual, 2 protocol, 3 time sets","GDS4008","GPL6244",4,"GSE36036"
437,"Myelomatous bone marrow samples after aspiration: time course","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 10 individual, 2 protocol, 9 time sets","GDS4007","GPL6244",26,"GSE36036"
438,"Histone deacetylase inhibitor and hypomethylating agent effect on diffuse large B-cell lymphoma cell lines","Homo sapiens","Expression profiling by array, count, 4 agent, 3 cell line sets","GDS4006","GPL6947",12,"GSE27226"
439,"Organophosphorus compound VX effect on hepatocytes: dose response","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 3 dose, 2 time sets","GDS3998","GPL570",15,"GSE33606"
440,"Insulin-Producing Cells generated from dedifferentiated pancreatic islet cells expanded in vitro","Homo sapiens","Expression profiling by array, count, 3 cell type, 3 growth protocol sets","GDS3984","GPL6244",11,"GSE30732"
441,"Pancreatic beta cells and panel of primary tissues","Homo sapiens","Expression profiling by array, count, 17 tissue sets","GDS3983","GPL96",33,"GSE30803"
442,"Resveratrol (resVida) effect on obese men: vastus lateralis muscle biopsies","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS3981","GPL11532",20,"GSE32357"
443,"Type 2 Diabetes: arterial tissue","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS3980","GPL571",21,"GSE13760"
444,"Adenoid cystic carcinoma xenograft models","Homo sapiens","Expression profiling by array, count, 13 other, 2 tissue sets","GDS3977","GPL570",22,"GSE28996"
445,"Endometriosis: endometrial tissue","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS3975","GPL6102",19,"GSE23339"
446,"Docetaxel resistant prostate cancer cell line","Homo sapiens","Expression profiling by array, transformed count, 4 cell line sets","GDS3973","GPL570",12,"GSE33455"
447,"Melanoma metastasis","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS3966","GPL96",83,"GSE8401"
448,"Xenotransplant melanoma metastasis model [Data Set F]","Homo sapiens","Expression profiling by array, count, 7 cell line, 2 disease state, 2 tissue sets","GDS3965","GPL96",39,"GSE7956"
449,"Xenotransplant melanoma metastasis model [Data Set A]","Homo sapiens","Expression profiling by array, count, 5 cell line, 2 disease state, 2 tissue sets","GDS3964","GPL96",32,"GSE7929"
450,"Pre-diabetes and Type 2 Diabetes mellitus: blood","Homo sapiens","Expression profiling by array, count, 3 disease state sets","GDS3963","GPL6883",24,"GSE26168"
451,"Obesity-associated insulin resistance independent of BMI: omental and subcutaneous adipose tissues","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender, 2 tissue sets","GDS3962","GPL570",19,"GSE15773"
452,"Adipogenesis and obesity: subcutaneous adipose tissue (HG-U133_Plus_2)","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 2 individual sets","GDS3961","GPL570",33,"GSE27951"
453,"Preimplantation embryonic development (HG-U133_Plus_2)","Homo sapiens","Expression profiling by array, count, 6 development stage sets","GDS3959","GPL570",18,"GSE18290"
454,"Polychlorobiphenyl coplanar congener PCB-77 effect on liver cell line","Homo sapiens","Expression profiling by array, count, 2 agent, 4 time sets","GDS3955","GPL570",12,"GSE6878"
455,"Polychlorobiphenyl non-coplanar congener PCB-153 effect on liver cell line","Homo sapiens","Expression profiling by array, count, 2 agent, 5 time sets","GDS3954","GPL570",16,"GSE6878"
456,"Breast cancer patients: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 6 disease state, 2 protocol sets","GDS3952","GPL570",162,"GSE27567"
457,"Interstitial lung disease","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 7 other, 4 specimen sets","GDS3951","GPL570",29,"GSE21411"
458,"Dexamethasone effect on cultured airway smooth muscle cells: time course","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 3 time sets","GDS3946","GPL6480",10,"GSE34313"
459,"Renal clear cell carcinoma-thyroid hormone receptor mutants: HepG3 cell line","Homo sapiens","Expression profiling by array, count, 2 agent, 7 genotype/variation sets","GDS3945","GPL6244",42,"GSE29159"
460,"Aging effect on bone marrow hematopoietic stem cells","Homo sapiens","Expression profiling by array, transformed count, 3 age sets","GDS3942","GPL570",27,"GSE32719"
461,"Post-menopausal women: vaginal epithelium","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS3941","GPL6244",10,"GSE26761"
462,"Sjögren's syndrome: minor salivary glands","Homo sapiens","Expression profiling by array, count, 5 disease state sets","GDS3940","GPL570",15,"GSE23117"
463,"Induced pluripotent stem cell-derived neurons from schizophrenia patients","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender sets","GDS3938","GPL6244",24,"GSE25673"
464,"Primary erythroblast culture response to cytokine-induced increase in fetal hemoglobin ","Homo sapiens","Expression profiling by array, count, 2 development stage, 2 growth protocol, 2 time sets","GDS3936","GPL570",15,"GSE7874"
465,"Tobacco smoke effect on maternal and fetal cells","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 3 specimen sets","GDS3929","GPL6883",183,"GSE27272"
466,"HNF4A deficiency effect on embryonic stem cell model of hepatocyte differentiation","Homo sapiens","Expression profiling by array, count, 4 development stage, 2 genotype/variation, 4 time sets","GDS3926","GPL570",12,"GSE25417"
467,"Multiple sclerosis: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS3920","GPL570",29,"GSE21942"
468,"Severe influenza A infection: whole blood","Homo sapiens","Expression profiling by array, count, 3 disease state, 7 time sets","GDS3919","GPL6947",81,"GSE20346"
469,"Recombinant human growth hormone effect on lactating mammary gland: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 5 individual, 28 time sets","GDS3916","GPL6104",139,"GSE15208"
470,"Adrenocortical adenomas harboring β-catenin gene CTNNB1 mutations","Homo sapiens","Expression profiling by array, count, 4 genotype/variation, 3 other, 2 tissue sets","GDS3912","GPL570",8,"GSE28476"
471,"StemRegenin 1 effect on hematopoietic stem cells: dose response","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 5 dose sets","GDS3911","GPL570",8,"GSE28359"
472,"Cisplatin effect on breast cancer cell line MCF-7: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 3 metabolism, 3 time sets","GDS3910","GPL570",6,"GSE28274"
473,"Unruptured intracranial arterial aneurysm: cerebral artery","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS3903","GPL570",6,"GSE26969"
474,"Chronic B-lymphocytic leukemia: peripheral blood","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS3902","GPL570",17,"GSE26725"
475,"Burkitt lymphoma subtypes: lymph-node biopsies","Homo sapiens","Expression profiling by array, transformed count, 2 development stage, 3 disease state, 2 individual sets","GDS3901","GPL570",16,"GSE26673"
476,"Social isolation effect on peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, count, 2 individual sets","GDS3898","GPL6883",93,"GSE25837"
477,"Red meat consumption effect on inflammatory bowel disease: colon","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender, 32 individual, 2 protocol sets","GDS3897","GPL6480",44,"GSE25220"
478,"Induced pluripotent stem cell-based accelerated aging model","Homo sapiens","Expression profiling by array, transformed count, 3 cell line, 2 genotype/variation sets","GDS3892","GPL570",10,"GSE24487"
479,"Hematopoietic CD34+ cells exposed in vitro to dioxin","Homo sapiens","Expression profiling by array, count, 2 agent, 5 individual sets","GDS3889","GPL96",8,"GSE24193"
480,"Multiple sclerosis: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS3886","GPL6244",12,"GSE23832"
481,"Glioblastoma stem-like cell lines, glioblastomas, and glioma cell lines ","Homo sapiens","Expression profiling by array, transformed count, 7 specimen sets","GDS3885","GPL570",92,"GSE23806"
482,"Type 2 diabetic and insulin-resistant but normoglycemic cohorts: skeletal muscle","Homo sapiens","Expression profiling by array, count, 3 disease state, 2 gender sets","GDS3884","GPL570",50,"GSE25462"
483,"Type 2 diabetes and role of hepatokines","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender sets","GDS3883","GPL570",17,"GSE23343"
484,"Type 2 diabetic pancreatic islets of Langerhans","Homo sapiens","Expression profiling by array, transformed count, 9 age, 2 disease state, 2 gender sets","GDS3882","GPL96",13,"GSE25724"
485,"Bariatric surgery effect on obesity-related type 2 diabetes: whole blood","Homo sapiens","Expression profiling by array, count, 2 gender, 11 individual, 2 protocol sets","GDS3881","GPL6102",22,"GSE19790"
486,"Prolonged exercise training effect on skeletal muscle from type 2 diabetes subjects","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 34 individual, 3 protocol sets","GDS3880","GPL570",42,"GSE19420"
487,"Obese patients with and without type 2 diabetes: liver","Homo sapiens","Expression profiling by array, count, 3 disease state, 2 gender, 2 individual sets","GDS3876","GPL96",18,"GSE15653"
488,"Diabetic children: peripheral blood mononuclear cells (U133B)","Homo sapiens","Expression profiling by array, count, 3 disease state, 2 gender, 4 time sets","GDS3875","GPL97",117,"GSE9006"
489,"Diabetic children: peripheral blood mononuclear cells (U133A)","Homo sapiens","Expression profiling by array, count, 3 disease state, 2 gender, 4 time sets","GDS3874","GPL96",117,"GSE9006"
490,"Xenograft ovarian tumor response to anti-cancer therapeutic MT19: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 3 time sets","GDS3872","GPL6244",15,"GSE23616"
491,"Indolent B-cell lymphoma and very early chronic lymphocytic leukemia: peripheral blood CD4+ Tcells","Homo sapiens","Expression profiling by array, count, 26 age, 5 disease state sets","GDS3869","GPL570",41,"GSE23293"
492,"Elevated laminar shear stress effect on umbilical endothelial cells","Homo sapiens","Expression profiling by array, count, 2 stress sets","GDS3868","GPL6104",8,"GSE23289"
493,"Comparison of induced pluripotent and embryonic stem cells","Homo sapiens","Expression profiling by array, transformed count, 12 cell type, 11 other sets","GDS3867","GPL10666",24,"GSE23034"
494,"In vivo glucocorticoid effect on non-leukemic peripheral blood lymphocytes","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 disease state, 4 individual, 4 time sets","GDS3864","GPL570",16,"GSE22779"
495,"Synthetic androgen R1881 effect on transcription factor SRF-deficient prostate cancer cells","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 protocol sets","GDS3861","GPL570",12,"GSE22606"
496,"Erythropoiesis: PBMC-derived, FACS-sorted erythroid progenitors","Homo sapiens","Expression profiling by array, transformed count, 4 development stage, 2 protocol sets","GDS3860","GPL570",16,"GSE22552"
497,"Hypoxia effect on monocyte-derived, mature dendritic cells","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS3858","GPL570",6,"GSE22282"
498,"Oral mucosal fibroblast response to artificial wounding stimulus","Homo sapiens","Expression profiling by array, count, 2 cell type, 4 individual, 2 protocol, 2 time sets","GDS3856","GPL96",15,"GSE21648"
499,"Monozygotic twins discordant for postmenopausal hormone replacement therapy: mid-part of vastus lateralis muscle","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS3855","GPL6884",22,"GSE21421"
500,"Ductal carcinoma in situ: mammary gland","Homo sapiens","Expression profiling by array, count, 3 disease state sets","GDS3853","GPL570",19,"GSE21422"
501,"Smooth muscle cell cord morphogenesis (HG-U133A)","Homo sapiens","Expression profiling by array, count, 2 time sets","GDS3852","GPL96",6,"GSE21363"
502,"Smooth muscle cell cord morphogenesis (HG-U133B)","Homo sapiens","Expression profiling by array, count, 2 time sets","GDS3851","GPL97",6,"GSE21363"
